Company Name,Ticker Symbol,Industry Name,SIC Code,Exchange Code,Stock Price,Trading Volume,# of shares outstanding,Market Cap,Total Debt,Firm Value,Enterprise Value,Cash,Revenues: Last yr,Trailing 12-mth Revenues,Current PE,Trailing PE,Forward EPS,Forward PE,PEG Ratio,PBV Ratio,PS Ratio,EV/EBIT,EV/EBITDA,EV/ Invested Capital,Value/BV of Capital,EV/Sales,EV/ Trailing Sales,Growth in EPS: Last 5 years,Expected Growth in EPS: next 5 years,Expected Growth in Revenues: next 5 years,Growth in Revenue- last year, 3-yr Regression Beta,Value Line Beta,HiLo risk,3-yr Standard Deviation (Stock Price),Reinvestment,Correlation,Payout Ratio,Reinvestment Rate,ROE,ROC,Net Margin,Pre-tax Operating Margin,Invested Capital,Book Value of Equity,BV of Assets,Non-cash WC,Chg in non-cash WC,Net Income,EBIT,EBIT(1-t),EBITDA,FCFF,Eff Tax Rate,Non-cash WC as % of Revenues,Cash as % of Firm Value,Cash as % of Revenues,Cash as % of Total Assets,Capital Expenditures,Depreciation,SG&A Expenses,Trailing Revenues,Trailing Net Income,Dividends,Intangible Assets/Total Assets,Fixed Assets/Total Assets,Market D/E,Market Debt to Capital,Book Debt to Capital,Dividend Yield,Insider Holdings,Institutional Holdings
012 Smile.Communications Ltd,SMLC,Telecom. Services,4810,NDQ,$21.51,12196,25.4,$504.70,157.9,$662.60,$626.20,$36.40,$292.70,$309.20,34.81,15.58,$1.10,19.55,2.32,2.77,1.72,9.60,6.61,2.06,1.95,2.14,2.03,NA,15.00%,NA,0.30%,NA,0.95,0.69,NA,-$14.94,NA,0.00%,-33.61%,7.96%,14.64%,4.95%,22.28%,303.6,$182.10,$424.10,-$4.30,-$0.24,$14.50,$65.20,$44.46,$94.80,$59.40,31.81%,-1.47%,5.49%,12.44%,8.58%,$14.90,$29.60,$57.70,$309.20,$32.40,$0.00,36.55%,10.56%,31.29%,23.83%,46.44%,0.00%,NA,3.63%
1-800-ATTORNEY Inc,ATTY,Publishing,2700,NDQ,$0.20,892,0,$0.00,0,$0.00,$0.00,$0.00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.55,0.98,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$0.00,NA,NA,NA,NA,NA,NA,0.00%,NA,NA,NA,NA,$0.00,$0.00,$0.00,NA,NA,$0.00,NA,NA,NA,NA,NA,NA,NA,NA
1-800-FLOWERS.COM,FLWS,Internet,7370,NDQ,$2.65,147009,63.5,$142.20,92.8,$235.00,$205.40,$29.60,$714.00,$686.90,NA,NA,NA,NA,NA,1.06,0.20,6.06,3.74,1.04,1.04,0.29,0.30,NA,NA,1.00%,-22.30%,2.2,1.45,0.70,0.7328,-$10.08,31.66%,NA,-29.74%,-49.70%,17.21%,-9.31%,4.75%,197,$133.80,$286.10,$36.40,-$1.38,-$66.50,$33.90,$33.90,$54.90,$43.98,0.00%,5.10%,12.60%,4.15%,10.35%,$12.30,$21.00,$247.30,$686.90,-$70.60,$0.00,29.36%,19.15%,65.26%,39.49%,40.95%,0.00%,14.00%,39.40%
1mage Software Inc,ISOL,Computer Software/Svcs,3579,NDQ,$0.02,3526,0,$0.00,0,$0.00,$0.00,$0.00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.97,0.75,0.75,1.9164,NA,6.26%,NA,NA,NA,NA,NA,NA,NA,NA,NA,$0.00,NA,NA,NA,NA,NA,NA,0.00%,NA,NA,NA,NA,$0.00,$0.00,$0.00,NA,NA,$0.00,NA,NA,NA,NA,NA,NA,NA,NA
1st Centennial Bancorp,FCEN,Bank,6000,NDQ,$0.04,12666,4.9,$0.20,12.3,$12.50,$1.40,$11.10,NA,NA,0.03,NA,NA,NA,NA,0.00,NA,0.05,0.05,0.03,0.19,NA,NA,46.50%,NA,NA,NA,3.42,1.4,0.96,1.7991,NA,12.45%,0.00%,NA,15.11%,32.91%,NA,NA,53.5,$52.30,$689.50,$0.00,NA,$7.90,$28.10,$17.61,$28.10,NA,37.34%,NA,88.80%,NA,1.61%,$0.00,$0.00,$14.70,NA,-$18.30,$0.00,0.61%,0.00%,6150.00%,98.40%,19.04%,0.00%,NA,NA
1st Century Bancshares Inc,FCTY,Bank,6000,NDQ,$3.45,14045,9.6,$30.90,14.5,$45.40,$43.00,$2.40,NA,NA,NA,NA,NA,NA,NA,0.54,NA,6.52,6.52,0.62,0.63,NA,NA,NA,NA,NA,NA,NA,0.5,0.35,NA,NA,NA,NA,NA,-2.63%,9.55%,NA,NA,69.1,$57.00,$259.40,$0.00,NA,-$1.50,$6.60,$6.60,$6.60,NA,0.00%,NA,5.29%,NA,0.93%,$0.00,$0.00,$2.40,NA,-$6.30,$0.00,0.00%,0.00%,46.93%,31.94%,20.28%,0.00%,NA,9.05%
1st Colonial Bancorp Inc,FCOB,Bank,6000,NDQ,$4.25,3129,2.9,$13.00,9.5,$22.50,$16.80,$5.70,NA,NA,21.67,21.67,NA,NA,NA,0.60,NA,3.65,3.65,0.66,0.72,NA,NA,NA,NA,NA,NA,0.06,0.5,0.30,0.3328,NA,24.04%,0.00%,NA,2.75%,17.97%,NA,NA,25.6,$21.80,$232.80,$0.00,NA,$0.60,$4.60,$4.60,$4.60,NA,0.00%,NA,25.33%,NA,2.45%,$0.00,$0.00,$5.20,NA,$0.60,$0.00,0.00%,0.00%,73.08%,42.22%,30.35%,0.00%,NA,11.08%
1st Constitution Bancorp,FCCY,Bank,6000,NDQ,$6.25,2580,4.2,$25.90,49.1,$75.00,$67.50,$7.50,NA,NA,4.80,12.33,NA,NA,NA,0.63,NA,4.19,4.19,0.82,0.83,NA,NA,14.00%,NA,NA,NA,NA,0.35,0.45,NA,NA,NA,0.00%,NA,13.17%,13.09%,NA,NA,82.6,$41.00,$429.20,$0.00,NA,$5.40,$16.10,$10.81,$16.10,NA,32.84%,NA,10.00%,NA,1.75%,$0.00,$0.00,$9.60,NA,$2.10,$0.00,0.16%,0.00%,189.58%,65.47%,54.50%,0.00%,NA,3.32%
1st Pacific Bancorp CA,FPBN,Bank,6000,NDQ,$0.69,10418,5,$2.90,60.2,$63.10,$56.60,$6.50,NA,NA,NA,NA,NA,NA,NA,0.13,NA,5.34,5.34,0.74,0.76,NA,NA,NA,NA,NA,NA,1.29,0.95,0.80,0.6788,NA,22.39%,NA,NA,-97.35%,13.89%,NA,NA,76.3,$22.60,$420.90,$0.00,NA,-$22.00,$10.60,$10.60,$10.60,NA,0.00%,NA,10.30%,NA,1.54%,$0.00,$0.00,$8.70,NA,-$16.80,$0.00,0.31%,0.00%,2075.86%,95.40%,72.71%,0.00%,NA,5.82%
1st Source Corp.,SRCE,Bank (Midwest),6001,NDQ,$16.09,33062,24.1,$396.10,119.5,$515.60,$395.80,$119.80,NA,NA,15.29,16.37,NA,NA,NA,0.87,NA,2.75,2.75,0.87,0.90,NA,NA,7.00%,NA,NA,NA,0.33,0.95,0.27,0.4501,NA,33.77%,0.00%,NA,5.71%,23.58%,NA,NA,453.4,$453.70,"$4,464.20",$0.00,NA,$25.90,$144.00,$106.90,$144.00,NA,25.76%,NA,23.24%,NA,2.68%,$0.00,$0.00,$86.90,NA,$24.20,$0.00,2.05%,0.00%,30.17%,23.18%,20.85%,0.00%,NA,69.23%
