Accounts Payable	Accrued Expenses	Amortization	Cash & Equivalents	Cash from Financing Activities	Cash from Investing Activities	Cash from Operating Activities	Changes in Working Capital	Cost of Revenue Total	Current-Quote	Depreciation/Amortization	Depreciation/Depletion	Gross Profit	Historical-Quote	Income After Tax	Income Before Tax	Interest Expense (Income) Net Operating	Interest Income (Expense) Net Non-Operating	Net Change in Cash	Net Income	Normalized EBIT	Normalized EBITDA	Operating Income	Period	Period End Date	Period-Type	Research & Development	Retained Earnings (Accumulated Deficit)	Selling/General/Administrative Expenses Total	Timestamp	Total Assets	Total Common Shares Outstanding	Total Current Assets	Total Current Liabilities	Total Equity	Total Inventory	Total Liabilities	Total Receivables Net	Total Revenue	X1	X2	X3	X4	X4prime	X5	generated-id	symbol	zDoublePrimeScore	zDoublePrimeScore-to-current-price	zDoublePrimeScore-to-price	zPrimeScore	zPrimeScore-to-current-price	zPrimeScore-to-price	zScore	zScore-to-current-price	zScore-to-price
1.82	15.0	1.23	77.12	0.6	23.01	12.47	5.14	14.38	7.36	0.0	1.53	68.58	6.16	1.2	2.41	0.0	0.0	36.53	1.2	1.41	4.54	1.5	T-1	03/31/2010	Ann	15.13	-179.37	52.03	2010-October-28 06:51 +0000	171.21	27.77	115.53	75.23	86.1	0.0	85.1	22.75	82.96	0.235383447229	-1.04766076748	0.00876117049238	2.01014336075	1.01175088132	0.484551136032	4e53c345-c104-45d5-bc9a-13ff918db67b	ACCL	-0.75004519707	-0.101908314819	-0.12176058394	0.217139622241	0.0295026660653	0.0352499386755	0.534799526176	0.0726629791	0.0868181048987
1.41	14.02	1.87	40.6	0.72	-22.64	11.86	4.38	15.67	7.36	0.0	1.9	65.31	3.98	0.09	1.29	0.0	0.0	-12.53	0.09	0.58	4.67	-0.32	T-2	03/31/2009	Ann	15.05	-180.56	49.68	2010-October-28 06:51 +0000	160.61	27.23	86.77	71.61	80.76	0.0	79.86	21.86	80.98	0.0943901376004	-1.12421393438	-0.0019924039599	1.35706736789	1.01126972201	0.504202727103	4e53c345-c104-45d5-bc9a-13ff918db67b	ACCL	-1.9972938699	-0.271371449715	-0.501832630628	0.0372057320347	0.00505512663515	0.00934817387806	-0.14926733096	-0.0202808873587	-0.0375043545127
1.28	13.45	1.53	53.13	0.66	12.95	4.18	-4.72	15.2	7.36	0.0	2.19	64.54	5.48	1.32	2.38	0.0	0.0	19.88	1.32	-0.68	3.04	-0.86	T-3	03/31/2008	Ann	17.76	-180.65	47.45	2010-October-28 06:51 +0000	156.09	26.79	80.41	70.97	74.88	0.0	81.21	21.98	79.74	0.0604779293997	-1.1573451214	-0.00550964187328	1.80777244182	0.922053934245	0.510859119739	4e53c345-c104-45d5-bc9a-13ff918db67b	ACCL	-2.44507804135	-0.3322116904	-0.446182124334	-0.0569270458683	-0.00773465297124	-0.0103881470563	0.0291202528412	0.00395655609255	0.00531391475204
1.2	19.94	1.53	33.25	1.46	4.84	0.24	-3.03	15.5	7.36	0.0	2.94	65.46	6.42	-1.53	-0.74	0.0	0.0	8.59	-1.53	-1.5	2.98	-2.7	T-4	03/31/2007	Ann	18.93	-182.68	48.02	2010-October-28 06:51 +0000	154.6	26.51	89.84	74.35	68.99	0.0	85.61	18.62	80.96	0.100194049159	-1.18163001294	-0.0174644243208	1.98801775494	0.805863800958	0.523673997413	4e53c345-c104-45d5-bc9a-13ff918db67b	ACCL	-2.46604482012	-0.335060437516	-0.38411913086	-0.122174008255	-0.0165997293825	-0.0190302193543	0.124279216997	0.016885763179	0.0193581334887
1.68	14.65	1.7	24.66	0.86	-2.13	5.77	5.65	16.03	7.36	0.0	3.81	65.97	7.27	-7.74	-6.84	0.0	0.0	3.4	-7.74	-5.53	-0.02	-8.71	T-5	03/31/2006	Ann	21.72	-181.16	49.78	2010-October-28 06:51 +0000	146.76	26.21	80.12	68.03	63.21	0.0	83.55	17.29	82.0	0.0823793949305	-1.23439629327	-0.0593485963478	2.28063076002	0.756552962298	0.558735350232	4e53c345-c104-45d5-bc9a-13ff918db67b	ACCL	-3.08816504235	-0.419587641624	-0.424781986569	-0.295493599389	-0.0401485868735	-0.0406456120205	0.10140516629	0.0137778758546	0.0139484410302
32.3	74.7	0.0	143.41	-35.66	-32.01	139.92	-7.42	315.66	18.55	10.06	36.52	388.84	18.29	62.87	103.54	0.0	0.95	72.25	62.87	104.58	134.87	104.58	T-1	05/31/2010	Ann	49.21	-84.42	225.0	2010-October-28 06:51 +0000	1094.69	146.37	408.15	212.09	806.83	3.18	287.87	181.92	704.5	0.179100932684	-0.0771177228256	0.0955338954407	9.29970924376	2.80275818946	0.643561190839	55c44718-e400-4cf0-b00d-da9579cc4cf8	MDRX	4.50838221829	0.243039472684	0.246494380442	2.17935297867	0.117485335777	0.119155438965	6.64496133812	0.35821894006	0.363311172123
19.24	58.07	0.0	71.16	296.86	-262.11	36.08	-35.2	256.29	18.55	6.88	22.79	292.15	13.44	26.02	44.4	0.0	0.63	70.83	26.02	52.63	74.25	45.93	T-2	05/31/2009	Ann	39.43	-147.29	199.9	2010-October-28 06:51 +0000	952.66	142.4	260.98	164.13	700.37	2.58	252.29	155.12	548.44	0.101662712825	-0.154609199505	0.0482123737745	7.58593681874	2.77605136946	0.575693321857	55c44718-e400-4cf0-b00d-da9579cc4cf8	MDRX	3.40172249544	0.183381266601	0.253104352339	1.83221752882	0.0987718344376	0.136325708989	5.19132292932	0.279855683521	0.386259146527
14.26	22.31	0.0	0.0	0.3	-9.17	7.82	-40.34	176.87	18.55	11.32	16.19	206.9	12.71	25.4	40.15	0.0	0.22	-1.05	25.4	40.23	56.42	40.23	T-3	05/31/2008	Ann	37.78	-173.31	117.57	2010-October-28 06:51 +0000	179.27	82.89	61.3	68.07	110.65	1.92	68.62	48.25	383.77	-0.0377642661907	-0.966754058125	0.224410107659	15.35313174	1.61250364325	2.14073743515	55c44718-e400-4cf0-b00d-da9579cc4cf8	MDRX	-0.198187066814	-0.0106839389118	-0.0155930028965	2.66503202886	0.143667494817	0.209679939328	10.6922562962	0.576401956668	0.841247544941
15.91	31.65	0.0	0.0	60.12	-89.31	30.52	-24.93	141.5	18.55	10.64	21.47	140.41	19.42	20.56	30.75	0.0	3.96	1.32	20.56	28.11	43.98	28.11	T-4	12/31/2007	Ann	0.0	-513.24	101.67	2010-October-28 06:51 +0000	578.14	56.92	169.12	94.06	340.64	4.18	237.5	81.35	281.91	0.129830144948	-0.887743453143	0.0486214411734	4.65425852632	1.43427368421	0.487615456464	55c44718-e400-4cf0-b00d-da9579cc4cf8	MDRX	-0.209634453283	-0.0113010486945	-0.0107947710238	0.581271499761	0.0313353908227	0.0299315911308	2.35308905221	0.126851161844	0.121168334305
9.29	26.55	0.0	0.0	134.27	-180.13	27.41	-13.35	112.03	18.55	10.27	16.46	115.94	26.82	11.9	19.32	0.0	0.0	-18.44	11.9	19.87	33.27	19.87	T-5	12/31/2006	Ann	0.0	-533.81	85.8	2010-October-28 06:51 +0000	477.61	54.36	153.9	71.65	316.25	3.25	161.36	55.58	227.97	0.17221163711	-1.11766922803	0.0416029815121	9.03529499256	1.95990332176	0.477314126589	55c44718-e400-4cf0-b00d-da9579cc4cf8	MDRX	-0.176422820327	-0.00951066416858	-0.00657803207782	0.6055892647	0.0326463215472	0.0225797637845	4.67722069228	0.252141277212	0.174393016118
36.89	159.1	0.0	96.96	16.77	-394.32	347.29	-47.42	981.84	86.87	0.0	189.6	690.03	89.25	193.47	292.68	0.0	0.0	-28.77	193.47	292.01	480.62	292.01	T-1	01/02/2010	Ann	271.05	1053.56	126.97	2010-October-28 06:51 +0000	2148.57	82.56	1146.34	358.1	1580.68	11.24	567.89	461.41	1671.86	0.366867265204	0.490354049438	0.135908999939	12.975188857	2.78342636778	0.778126847159	049b7ead-6b3c-4440-8565-77f5094aac46	CERN	7.84110962667	0.0902625719658	0.0878555700467	3.04625263977	0.0350667968202	0.0341316822383	10.1376981218	0.116699644547	0.113587654025
