asset_utilization	assets	book_value_per_share	cap_ex_percentage	cash_financing	cash_investing	cash_on_hand	cash_operations	current_ratio	debt_equity_ratio	expenses	free_cash_flow	gross_profit_margin	interest_expense_percentage	liabilities	long_term_debt	market_cap	net_income	period	price	price_to_book_value	quarter	retained_earnings_growth	return_on_equity	revenues	rownum	sga_percentage	shareholders_equity	symbol
2.6632	19.9500	0.0874	17.0886	0.1100	0.7800	11.9200	-0.3400	1.5347	2.7151	16.6400	-0.6100	53.7179	0.0000	14.5800	0.0000	89.7170	-2.2500	3/2007	1.4600	16.7071	Q1-2007	2.6872	-256.6108	14.3900	0	118.1113	5.3700	EGHT
2.7940	19.9000	0.0991	18.0000	0.0100	-1.4400	11.4200	0.2100	1.4576	2.2677	14.2300	0.1200	63.5685	0.0000	13.8100	0.0000	85.4155	0.5100	6/2007	1.3900	14.0255	Q2-2007	-0.4982	-123.6453	14.7400	1	95.0907	6.0900	EGHT
3.0383	18.8000	0.0808		0.1000	-1.0200	12.9000	0.7700	1.2666	2.7675	17.3300	0.5700	51.9973		13.8100	0.0000	77.2250	-2.5600	9/2007	1.2500	15.4760	Q3-2007	-0.5799	-147.4950	14.7700	2	130.8594	4.9900	EGHT
2.9776	20.0500	0.1082	15.2174	-0.0100	1.7900	14.3300	1.6300	1.3801	1.9925	14.4100	1.4200	64.9367	0.0000	13.3500	0.0000	55.1177	1.3900	12/2007	0.8900	8.2265	Q4-2007	-2.7212	-43.4328	15.8000	3	93.5673	6.7000	EGHT
2.8603	21.5500	0.1263	22.8571	0.1300	1.8500	14.5600	0.4200	1.4642	1.7474	15.6400	0.2600	66.7483	0.0000	13.7000	0.0000	60.8286	0.6900	3/2008	0.9800	7.7588	Q1-2008	-0.0150	0.3827	16.3300	4	82.8440	7.8400	EGHT
2.9250	21.6000	0.1519	12.9032	0.0600	1.4100	14.8200	0.3600	1.6605	1.2895	15.0900	0.2000	67.7518	0.0000	12.1600	0.0000	70.7598	1.1900	6/2008	1.1400	7.5037	Q2-2008	-0.3555	7.5292	16.2800	5	79.3291	9.4300	EGHT
3.0097	21.5400	0.1602	366.6667	0.1400	1.5800	15.7700	1.0200	1.7264	1.1627	16.3800	0.8000	65.3471	0.0000	11.5800	0.0000	54.0879	0.0400	9/2008	0.8700	5.4305	Q3-2008	-1.6363	33.2329	16.4200	6	90.0280	9.9600	EGHT
2.9745	21.9300	0.1659	138.0952	-0.0100	-0.2900	16.1900	0.7200	1.7463	1.1199	16.0200	0.4300	66.7901	0.0000	11.5800	0.0000	29.9184	0.1800	12/2008	0.4800	2.8935	Q4-2008	-1.0502	20.3095	16.2000	7	88.3549	10.3400	EGHT
2.9597	21.8500	0.1447		0.1600	-0.1200	16.3700	0.1500	1.5923	1.4197	19.6800	0.0200	58.5923		12.8200	0.0000	35.5794	-3.9100	3/2009	0.5700	3.9401	Q1-2009	1.2487	-27.6855	15.7700	8	126.7316	9.0300	EGHT
3.0137	21.2200	0.1514	48.8372	0.0000	-0.2100	15.4800	-0.6600	1.6733	1.2360	15.1500	-0.8700	65.7455	0.0000	11.7300	0.0000	37.6140	0.4100	6/2009	0.6000	3.9635	Q2-2009	1.6430	-34.5627	15.5600	9	83.7732	9.4900	EGHT
